TEAM,#,PLAYER,SP,MP,MS,PTS,PTS/S,K,K/S,E,HA,PCT,A,A/S,SA,SA/S,SE,DIG,DIG/S,RE,RA,REC%,RE/S,BS,BA,BLK,BLK/S,BE,BHE
L2,3,Thomas Tanedo,53,28,28,30,0.566,6,0.11,7,26,-0.038,291,5.49,13,0.25,28,65,1.23,0,3,1.000,0.00,0,11,11,0.21,0,8
L2,4,TQ Setla,60,28,28,96,1.600,67,1.12,50,218,0.078,4,0.07,17,0.28,47,119,1.98,13,239,0.946,0.22,0,12,12,0.20,0,3
L2,7,Patrick Burke,52,25,25,10,0.192,5,0.10,8,23,-0.13,1,0.02,5,0.10,20,22,0.42,8,104,0.923,0.15,0,0,0,0.00,0,0
L2,8,Quinn Burns,62,28,28,8,0.129,0,0.00,0,1,0,43,0.69,8,0.13,16,148,2.39,17,364,0.953,0.27,0,0,0,0.00,0,2
L2,9,Jack Szuba,19,16,16,24,1.263,15,0.79,11,42,0.095,0,0.00,0,0.00,3,2,0.11,0,4,1.000,0.00,1,8,9,0.47,0,0
L2,11,Sam Lapinski,62,28,28,170,2.742,135,2.18,91,403,0.109,7,0.11,8,0.13,21,48,0.77,5,55,0.909,0.08,4,23,27,0.44,0,1
L2,12,Jack Radcliffe,46,24,24,71,1.543,41,0.89,15,105,0.248,3,0.07,4,0.09,7,10,0.22,1,3,0.667,0.02,4,22,26,0.57,0,0
L2,13,Graham Pease,62,28,28,244,3.935,213,3.44,101,548,0.204,8,0.13,13,0.21,23,73,1.18,16,333,0.952,0.26,3,15,18,0.29,0,0
L2,29,Connor Monroe,57,28,28,118,2.070,74,1.30,33,176,0.233,3,0.05,1,0.02,5,6,0.11,2,7,0.714,0.04,3,40,43,0.75,0,1
L2,72,Riley Andersen,47,25,25,54,1.149,40,0.85,35,129,0.039,0,0.00,0,0.00,0,13,0.28,1,2,0.500,0.02,1,13,14,0.30,0,1
